"name","address","city","state","zip_code","latitude","longitude"
"Waffle House #29","5335 ROWSELL RD NE","ATLANTA","GA","30342","33.728619","-84.331975"
"Waffle House #7","1674 W WASHINGTON ROAD","EAST POINT","GA","30344","33.675472","-84.443448"
"Waffle House #43","509 N WEST SHORE BLVD","TAMPA","FL","33609","27.9487414","-82.5240906"
"Waffle House #40","840 RIVERSIDE DR","MACON","GA","31201","32.8424196","-83.6294334"
"Waffle House #22","4788 MEMORIAL DR","DECATUR","GA","30032","33.785869","-84.234661"
"Waffle House #35","1601 SHORTER AVE","ROME","GA","30161","34.268558","-85.21337"
"Waffle House #25","1425 E VIRGINIA AVE","COLLEGE PARK","GA","30337","33.659279","-84.435484"
"Waffle House #41","2548 WESLEY CHAPEL RD","DECATUR","GA","30035","33.7139239","-84.2157977"
"Waffle House #4","321 GEORGIA AVE","NORTH AUGUSTA","SC","29841","33.4911795","-81.9718588"
"Waffle House #46","300 DIXIE AVENUE","CARTERSVILLE","GA","30120","34.1768544","-84.7865008"
"Waffle House #61","4739 S BLVD","CHARLOTTE","NC","28210","35.1754036","-80.875809"
"Waffle House #54","4271 ROOSEVELT BLVD","JACKSONVILLE","FL","32210","30.2851918","-81.7200102"
"Waffle House #57","4005 BUENA VISTA RD","COLUMBUS","GA","31907","32.4632689","-84.9263286"
"Waffle House #63","2727 MANCHESTER EXPRESSWAY","COLUMBUS","GA","31904","32.5207108","-84.8991224"
"Waffle House #68","631 W. 15TH STREET","PANAMA CITY","FL","32401","30.1751152","-85.6668325"
"Waffle House #78","3421 MCFARLAND BLVD","TUSCALOOSA","AL","35405","33.2400313","-87.5912448"
"Waffle House #71","1072 AIRPORT ROAD","JACKSONVILLE","FL","32218","30.4825933","-81.6482597"
"Waffle House #74","4274 LAVISTA RD","TUCKER","GA","30084","33.847216","-84.2437899"
"Waffle House #80","3711 OGEECHEE RD","SAVANNAH","GA","31405","32.0557752","-81.1334417"
"Waffle House #91","263 MIRACLE STRIP PKWY SE","FT WALTON BEACH","FL","32548","30.4040645","-86.6125894"
"Waffle House #86","802 CLEVELAND AVE","ATTALLA","AL","35954","34.018171","-86.0740108"
"Waffle House #79","1141 HWY 280 BYP","PHENIX CITY","AL","36867","32.507045","-85.054388"
"Waffle House #89","4310 STATE HWY 21","GARDEN CITY","GA","31408","32.104243","-81.150571"
"Waffle House #90","90 N WHYTE HARDEE BD","HARDEEVILLE","SC","29927","32.276703","-81.081071"
"Waffle House #103","4731 CHAMBERS RD","MACON","GA","31206","32.8099445","-83.724281"
"Waffle House #100","2842 PANOLA RD","LITHONIA","GA","30058","33.705214","-84.169705"
"Waffle House #102","3009 ALCOA HWY","ALCOA","TN","37701","35.8247669","-83.9770094"
"Waffle House #88","1420 REDBUD RD","CALHOUN","GA","30701","34.511582","-84.917411"
"Waffle House #94","228 NORTH MAIN ST","CEDARTOWN","GA","30125","34.0177439","-85.2537133"
"Waffle House #105","4852 OLD NATIONAL HWY","COLLEGE PARK","GA","30337","33.6231943","-84.4738942"
"Waffle House #96","922 E FOWLER AVE","TAMPA","FL","33612","28.0549684","-82.4496944"
"Waffle House #123","6513 RINGGOLD ROAD","EAST RIDGE","TN","37412","34.9897509","-85.2081074"
"Waffle House #34","2642 WINDY HILL ROAD, SE","MARIETTA","GA","30067","33.9005659","-84.4772156"
"Waffle House #124","70 WARRENTON RD","VICKSBURG","MS","39180","32.3075867","-90.9022821"
"Waffle House #128","1668 E STONE DRIVE","KINGSPORT","TN","37660","36.5477654","-82.5179544"
"Waffle House #127","7505 TWO NOTCH RD","COLUMBIA","SC","29223","34.0411991","-80.9960604"
"Waffle House #134","2800 20TH AVE","VALLEY","AL","36854","32.8133247","-85.1711122"
